school_id,district,school,approaches_self_regulation,approaches_interpersonal_skills,approaches_total,approaches_n,math_number,math_n,literacy_uppercase_letters,literacy_uppercase_letters_n,literacy_lowercase_letters,literacy_lowercase_letters_n,literacy_letter_sound,literacy_letter_sound_n,frl_pct,x2017_18_total_enrollment,x2017_18_american_indian_alaska_native,x2017_18_percent_american_indian_alaska_native,x2017_18_asian,x2017_18_percent_asian,x2017_18_native_hawaiian_pacific_islander,x2017_18_percent_native_hawaiian_pacific_islander,x2017_18_black_african_american,x2017_18_percent_black_african_american,x2017_18_hispanic_latino,x2017_18_percent_hispanic_latino,x2017_18_white,x2017_18_percent_white,x2017_18_multiracial,x2017_18_percent_multiracial,location,lon,lat
861,Portland SD 1J,Irvington Elementary School,3.6,4.1,3.8,54,11.8,52,20.2,52,17.2,52,12.7,52,23.97,459,0,0,5,0.01089324618,0,0,92,0.20043572984,54,0.11764705882,248,0.54030501089,60,0.13071895424,"Irvington Elementary School, Multnomah County, Oregon",-122.651928,45.540139
862,Portland SD 1J,James John Elementary School,3.7,3.7,3.7,65,11.3,62,13.9,62,11.4,62,6.9,62,71.2,368,4,0.01086956521,14,0.03804347826,5,0.01358695652,33,0.08967391304,145,0.39402173913,137,0.37228260869,30,0.08152173913,"James John Elementary School, Multnomah County, Oregon",-122.7523434,45.5903602
864,Portland SD 1J,Kelly Elementary School,3.4,3.9,3.6,74,7.9,75,11.6,74,9.6,74,6.6,74,73.31,532,8,0.01503759398,52,0.0977443609,4,0.00751879699,39,0.07330827067,85,0.15977443609,309,0.58082706766,35,0.06578947368,"Kelly Elementary School, Multnomah County, Oregon",-122.5708452,45.4726741
866,Portland SD 1J,King Elementary School,3.8,4,3.9,63,10.6,60,17.2,60,14.8,60,9.4,60,88.89,369,1,0.0027100271,10,0.027100271,2,0.0054200542,145,0.39295392953,107,0.28997289972,48,0.13008130081,56,0.15176151761,"King Elementary School, Multnomah County, Oregon",-122.6590024,45.5581706
868,Portland SD 1J,Laurelhurst Elementary School,3.7,3.7,3.7,83,13,83,21.1,83,17.9,83,13.7,82,9.89,698,1,0.00143266475,22,0.03151862464,0,0,12,0.01719197707,49,0.07020057306,539,0.77220630372,75,0.10744985673,"Laurelhurst Elementary School, Multnomah County, Oregon",-122.61937,45.529196
869,Portland SD 1J,Lee Elementary School,3.7,4,3.8,55,9.9,11,10.7,11,11.3,12,7.4,11,73.41,425,6,0.01411764705,87,0.20470588235,4,0.0094117647,67,0.15764705882,78,0.18352941176,132,0.31058823529,51,0.12,"Lee Elementary School, Multnomah County, Oregon",-122.5674,45.53776449999999
870,Portland SD 1J,Lent Elementary School,3.8,4.4,4,60,11.1,55,10.3,55,8.9,55,5.6,55,82.26,530,3,0.00566037735,74,0.1396226415,2,0.0037735849,38,0.0716981132,249,0.46981132075,135,0.25471698113,29,0.05471698113,"Lent Elementary School, Multnomah County, Oregon",-122.5640981,45.4853068
871,Portland SD 1J,Lewis Elementary School,4,3.7,3.9,62,12.4,61,20.4,62,17.1,62,13,62,22.62,389,1,0.00257069408,6,0.01542416452,0,0,3,0.00771208226,31,0.0796915167,302,0.77634961439,46,0.11825192802,"Lewis Elementary School, Multnomah County, Oregon",-122.6172191,45.4735039
872,Portland SD 1J,Llewellyn Elementary School,3.9,4.1,3.9,79,13.3,79,20.2,79,16.9,79,13.2,79,11.45,489,0,0,11,0.02249488752,6,0.01226993865,2,0.00408997955,33,0.06748466257,391,0.79959100204,46,0.09406952965,"Llewellyn Elementary School, Multnomah County, Oregon",-122.6521642,45.4771711
873,Portland SD 1J,Maplewood Elementary School,3.6,4.1,3.7,63,13,61,19,61,17,61,12.4,61,16.67,378,1,0.00264550264,10,0.02645502645,2,0.00529100529,6,0.01587301587,24,0.06349206349,301,0.79629629629,34,0.08994708994,"Maplewood Elementary School, Multnomah County, Oregon",-122.7300118,45.47089769999999
875,Portland SD 1J,Marysville Elementary School,3.9,4.2,4,44,9.6,44,12.1,44,9.5,44,3.8,44,79.21,380,8,0.02105263157,84,0.22105263157,12,0.03157894736,48,0.12631578947,69,0.18157894736,129,0.33947368421,30,0.07894736842,"Marysville Elementary School, Multnomah County, Oregon",-122.5833827,45.4872765
879,Portland SD 1J,Peninsula Elementary School,3.2,3.2,3.2,41,12.2,41,17.8,41,15.5,41,10.2,41,53.05,279,0,0,8,0.02867383512,5,0.01792114695,32,0.1146953405,65,0.23297491039,134,0.48028673835,35,0.12544802867,"Peninsula Elementary School, Multnomah County, Oregon",-122.7006442,45.5819712
883,Portland SD 1J,Richmond Elementary School,3.9,4,3.9,111,13.5,111,22.2,112,18.8,112,16.8,111,6.81,646,1,0.00154798761,55,0.08513931888,1,0.00154798761,4,0.00619195046,18,0.02786377708,355,0.54953560371,212,0.32817337461,"Richmond Elementary School, Multnomah County, Oregon",-122.6198558,45.5065526
884,Portland SD 1J,Rigler Elementary School,3.2,3.3,3.2,65,12.2,63,10.9,64,8.9,63,6.5,63,86.39,441,2,0.00453514739,11,0.02494331065,6,0.01360544217,66,0.14965986394,237,0.53741496598,88,0.19954648526,31,0.07029478458,"Rigler Elementary School, Multnomah County, Oregon",-122.6076878,45.5559725
885,Portland SD 1J,Roseway Heights School,4.2,4.3,4.2,65,12.3,73,19.1,74,15.8,74,8.8,74,38.94,660,2,0.00303030303,141,0.21363636363,2,0.00303030303,37,0.05606060606,56,0.08484848484,346,0.52424242424,76,0.11515151515,"Roseway Heights School, Multnomah County, Oregon",-122.58749,45.544147
886,Portland SD 1J,Sabin Elementary School,3.9,4.1,3.9,77,12.7,73,20.9,73,17.5,73,12.6,72,18.69,551,4,0.00725952813,10,0.018148820320000002,2,0.00362976406,81,0.14700544464,45,0.08166969147,362,0.65698729582,47,0.08529945553,"Sabin Elementary School, Multnomah County, Oregon",-122.6478363,45.5521913
887,Portland SD 1J,Scott Elementary School,3.7,3.8,3.8,63,10.5,60,12.5,61,10.7,61,6.4,61,82.73,521,6,0.01151631477,18,0.03454894433,8,0.01535508637,68,0.13051823416,255,0.48944337811,138,0.26487523992,28,0.0537428023,"Scott Elementary School, Multnomah County, Oregon",-122.512228,45.539083
889,Portland SD 1J,Sitton Elementary School,3.6,3.6,3.6,54,11.6,52,13.3,52,11.2,52,7.6,52,85.71,364,11,0.03021978021,9,0.02472527472,6,0.01648351648,58,0.15934065934,144,0.3956043956,96,0.26373626373,40,0.10989010989,"Sitton Elementary School, Multnomah County, Oregon",-122.75837,45.599935
890,Portland SD 1J,Skyline Elementary School,3.5,4.1,3.7,25,13,24,20.3,24,18.2,24,12.8,22,19.11,293,2,0.00682593856,9,0.03071672354,1,0.00341296928,6,0.02047781569,32,0.10921501706,211,0.72013651877,32,0.10921501706,"Skyline Elementary School, Multnomah County, Oregon",-122.8569866,45.6075167
892,Portland SD 1J,Stephenson Elementary School,3.8,4.1,3.9,62,13.7,62,20.3,63,17.9,62,12.6,61,NA,352,2,0.00568181818,16,0.04545454545,0,0,4,0.01136363636,29,0.08238636363,269,0.76420454545,32,0.0909090909,"Stephenson Elementary School, Multnomah County, Oregon",-122.7039613,45.4408687
893,Portland SD 1J,Sunnyside Environmental School,3.6,3.8,3.7,55,12.9,55,21.5,55,18.4,55,15.3,55,21.52,604,4,0.00662251655,10,0.01655629139,1,0.00165562913,13,0.0215231788,52,0.08609271523,454,0.75165562913,70,0.11589403973,"Sunnyside Environmental School, Multnomah County, Oregon",-122.6289474,45.51464350000001
895,Portland SD 1J,Vernon Elementary School,2.6,2.9,2.7,58,11.5,53,18.8,55,16.1,55,9.8,53,36.02,522,0,0,10,0.01915708812,4,0.00766283524,107,0.20498084291,62,0.11877394636,283,0.54214559386,56,0.10727969348,"Vernon Elementary School, Multnomah County, Oregon",-122.6437484,45.56242779999999
896,Portland SD 1J,Vestal Elementary School,4,4.3,4.1,33,10.6,28,12,28,10.3,28,8.3,27,71.85,341,1,0.00293255131,40,0.11730205278,4,0.01173020527,45,0.13196480938,59,0.17302052785,152,0.44574780058,40,0.11730205278,"Vestal Elementary School, Multnomah County, Oregon",-122.5795549,45.5244035
900,Portland SD 1J,Whitman Elementary School,3.5,3.9,3.6,49,10,49,12.7,49,10.5,49,5.8,49,83.9,267,7,0.02621722846,35,0.13108614232,1,0.00374531835,20,0.07490636704,85,0.31835205992,103,0.38576779026,16,0.05992509363,"Whitman Elementary School, Multnomah County, Oregon",-122.5873921,45.4682438
